Track Name,Artist,Streams
Despacito - Remix,Luis Fonsi,11395183
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,10195398
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,10135936
XO TOUR Llif3,Lil Uzi Vert,9842380
HUMBLE.,Kendrick Lamar,9330372
Unforgettable,French Montana,7776343
Congratulations,Post Malone,7289271
Signs,Drake,6178135
Redbone,Childish Gambino,6093673
Mask Off,Future,5741142
Believer,Imagine Dragons,5711397
Location,Khalid,5640258
DNA.,Kendrick Lamar,5415362
2U (feat. Justin Bieber),David Guetta,5122092
Magnolia,Playboi Carti,5069721
1-800-273-8255,Logic,4986677
Stay (with Alessia Cara),Zedd,4840460
Body Like A Back Road,Sam Hunt,4835421
That's What I Like,Bruno Mars,4781397
BUTTERFLY EFFECT,Travis Scott,4616448
Thunder,Imagine Dragons,4568322
goosebumps,Travis Scott,4546677
Strip That Down,Liam Payne,4535114
Slippery (feat. Gucci Mane),Migos,4510995
Now Or Never,Halsey,4445267
Attention,Charlie Puth,4303156
Shape of You,Ed Sheeran,4214532
LOVE. FEAT. ZACARI.,Kendrick Lamar,4183843
4 AM,2 Chainz,4154152
Passionfruit,Drake,4133161
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,4106238
Bad Liar,Selena Gomez,4095445
Slide (feat. Frank Ocean & Migos),Calvin Harris,4044707
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,4034740
iSpy (feat. Lil Yachty),KYLE,3925444
Slow Hands,Niall Horan,3742615
There's Nothing Holdin' Me Back,Shawn Mendes,3731965
Don't Quit (feat. Travis Scott & Jeremih),DJ Khaled,3674123
No Complaints,Metro Boomin,3611133
Malibu,Miley Cyrus,3538875
Rollin (feat. Future & Khalid),Calvin Harris,3516309
There for You,Martin Garrix,3297081
Despacito (Featuring Daddy Yankee),Luis Fonsi,3246903
Portland,Drake,3208869
Something Just Like This,The Chainsmokers,3090818
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,3083431
Tunnel Vision,Kodak Black,3074388
It's A Vibe,2 Chainz,3047842
