track_name,artist_name,released_on,streams,bb_hot_100_peak,sp_top_200_peak,genres,artist_popularity,artist_followers,month_released
Let You Down,Alec Benjamin,2018-11-16,184440281,12,11,pop,82,520464,11
Liability,Lorde,2017-06-16,5465888,78,74,art pop dance pop electropop metropopolis nz pop pop,79,4338178,6
Liability (Reprise),Lorde,2017-11-10,1229446,78,181,art pop dance pop electropop metropopolis nz pop pop,79,4338178,11
Lick,Offset,2019-02-22,2481244,86,91,atl hip hop pop pop rap rap trap music,90,1099110,2
Lie,NF,2017-10-06,13768483,48,77,hip hop rap,82,1789975,10
Lie To Me (feat. Julia Michaels),5 Seconds of Summer,2018-12-21,8312701,48,102,boy band dance pop pop post-teen pop,86,4571579,12
Life Changes,Thomas Rhett,2017-09-08,1459864,36,150,contemporary country country country road modern country rock,81,2609541,9
Life Goes On,Lil Baby,2018-05-18,46197680,74,105,atl hip hop atl trap rap trap music,88,2073903,5
Light,John Mayer,2018-05-10,19181973,97,53,neo mellow pop pop rock singer-songwriter,87,3692730,5
Light It Up (feat. Nyla & Fuse ODG) - Remix,New Tribute Kings,2016-02-15,1044681,57,173,,42,1123,2
Light It Up (feat. Nyla & Fuse ODG) - Remix,New Tribute Kings,2016-02-15,1044681,97,173,,42,1123,2
Light It Up (with Tyga & Chris Brown),Marshmello,2019-04-25,2151220,57,97,brostep egyptian pop progressive electro house,92,11832611,4
Light It Up (with Tyga & Chris Brown),Marshmello,2019-04-25,2151220,97,97,brostep egyptian pop progressive electro house,92,11832611,4
Light My Body Up (feat. Nicki Minaj & Lil Wayne),David Guetta,2017-03-23,1190718,97,193,dance pop edm pop,89,18542885,3
Lighthouse - Andrelli Remix,Hearts & Colors,2016-11-11,13758849,97,86,indie cafe pop post-teen pop viral pop,65,87363,11
Lights Down Low,MAX,2016-04-08,20146558,20,113,dance pop indie poptimism pop post-teen pop viral pop,76,284738,4
Lights Down Low,MAX,2016-04-08,20146558,97,113,dance pop indie poptimism pop post-teen pop viral pop,76,284738,4
Location,Khalid,2017-04-27,364204491,16,9,pop,97,6290472,4
Look Alive,BlocBoy JB,2018-02-09,985786,5,193,pop rap rap southern hip hop trap music vapor trap,75,755792,2
Look Alive (feat. Drake),BlocBoy JB,2018-02-09,310596800,5,3,pop rap rap southern hip hop trap music vapor trap,75,755792,2
Look At Me!,XXXTENTACION,2017-02-20,211247680,34,26,emo rap miami hip hop,94,12748618,2
Look Back At It,A Boogie Wit da Hoodie,2018-12-21,112520135,27,9,rap trap music,89,2873724,12
Look What God Gave Her,Thomas Rhett,2019-03-01,2125097,48,118,contemporary country country country road modern country rock,81,2609541,3
Look What You Made Me Do,Taylor Swift,2017-11-08,89205605,1,1,dance pop pop post-teen pop,92,19739491,11
Lose It,Kane Brown,2018-11-09,3031706,28,189,contemporary country country road,79,1481550,11
Lose You,Meghan Trainor,2015-01-09,11849418,64,31,dance pop hip pop pop post-teen pop r&b,81,7330920,1
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,2005-12-06,17196761,64,162,detroit hip hop g funk hip hop rap,94,26562330,12
Losin Control,Russ,2017-05-05,127776639,62,75,pop rap,84,2259584,5
Losing Sleep,Chris Young,2017-10-20,7990950,60,182,contemporary country country country road modern country rock,72,1416678,10
Lost In Japan,Shawn Mendes,2018-05-25,40929908,48,22,canadian pop dance pop pop post-teen pop viral pop,91,16547879,5
Lost In Japan - Remix,Shawn Mendes,2018-09-27,4869305,48,141,canadian pop dance pop pop post-teen pop viral pop,91,16547879,9
Love,Juice WRLD,2019-03-08,7519078,44,57,chicago rap,93,4166464,3
Love Drugs and Sex,A Boogie Wit da Hoodie,2018-12-21,1959193,44,169,rap trap music,89,2873724,12
Love Galore,SZA,2017-06-09,3767798,32,164,hip hop pop pop rap r&b rap,84,2533874,6
Love Galore,SZA,2017-06-09,3767798,44,164,hip hop pop pop rap r&b rap,84,2533874,6
Love Galore (feat. Travis Scott),SZA,2017-06-09,129430781,32,24,hip hop pop pop rap r&b rap,84,2533874,6
Love Galore (feat. Travis Scott),SZA,2017-06-09,129430781,44,24,hip hop pop pop rap r&b rap,84,2533874,6
Love Hurts (feat. Travis Scott),Playboi Carti,2018-05-11,2078478,44,111,atl hip hop hip hop pop pop rap rap southern hip hop trap music underground hip hop,82,2278369,5
Love It If We Made It,The 1975,2018-11-30,1702946,44,142,modern alternative rock nu gaze pop shiver pop,82,3087245,11
Love Lies (with Normani),Khalid,2018-02-14,207829278,9,9,pop,97,6290472,2
Love Lies (with Normani),Khalid,2018-02-14,207829278,44,9,pop,97,6290472,2
Love Maze,Juice WRLD,2019-03-08,1818692,44,137,chicago rap,93,4166464,3
Love Me Less (feat. Quinn XCII),MAX,2019-04-05,1608765,44,174,dance pop indie poptimism pop post-teen pop viral pop,76,284738,4
Love Me Now,Tory Lanez,2018-10-26,24620639,30,36,canadian hip hop hip hop pop pop rap r&b rap southern hip hop trap music,85,2283010,10
Love Me Now,Tory Lanez,2018-10-26,24620639,44,36,canadian hip hop hip hop pop pop rap r&b rap southern hip hop trap music,85,2283010,10
Love On The Brain,Rihanna,2016-01-28,65067087,5,39,dance pop pop post-teen pop r&b urban contemporary,91,31552175,1
Love On The Brain,Rihanna,2016-01-28,65067087,44,39,dance pop pop post-teen pop r&b urban contemporary,91,31552175,1
Love Scars,Trippie Redd,2017-05-14,43446142,44,137,rap trap music,86,2947102,5
Love Scars 3,Trippie Redd,2018-11-09,7818983,44,39,rap trap music,86,2947102,11
Love Scars 3,Trippie Redd,2018-11-09,7818983,73,39,rap trap music,86,2947102,11
Love So Soft,Kelly Clarkson,2017-10-27,1225648,44,190,dance pop neo mellow pop pop rock post-teen pop r&b talent show,78,4928924,10
Love So Soft,Kelly Clarkson,2017-10-27,1225648,47,190,dance pop neo mellow pop pop rock post-teen pop r&b talent show,78,4928924,10
Love U Better (feat. Lil Wayne & The-Dream),Ty Dolla $ign,2017-10-27,1673013,44,122,hip hop pop pop rap r&b rap trap music,90,2610854,10
Love Yourself,Justin Bieber,2015-11-13,8405775,44,104,canadian pop dance pop pop post-teen pop,90,27642324,11
Love on the Weekend,John Mayer,2017-04-14,1401018,44,129,neo mellow pop pop rock singer-songwriter,87,3692730,4
Lucid Dreams,Juice WRLD,2018-12-10,386590794,2,1,chicago rap,93,4166464,12
Lucky You (feat. Joyner Lucas),Eminem,2018-08-31,109014273,6,1,detroit hip hop g funk hip hop rap,94,26562330,8
Lust,Lil Skies,2017-12-12,119538668,87,79,trap music,86,2567952,12
Lust For Life (with The Weeknd),Lana Del Rey,2017-07-21,1833411,64,98,dance pop electropop pop,84,8171469,7
Lust For Life (with The Weeknd),Lana Del Rey,2017-07-21,1833411,87,98,dance pop electropop pop,84,8171469,7
Lust for Life (with The Weeknd),Lana Del Rey,2017-07-21,4634527,87,52,dance pop electropop pop,84,8171469,7
"MAMA (feat. Nicki Minaj, Kanye West)",6ix9ine,2018-11-27,24285690,43,15,emo rap,87,3900897,11
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,2019-04-26,8288423,2,5,dance pop pop post-teen pop,92,19739491,4
MIA (feat. Drake),Bad Bunny,2018-10-11,125837949,5,2,reggaeton trap latino,93,12479697,10
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,2017-11-24,19116012,28,65,k-pop,94,10794044,11
Mad Stalkers,21 Savage,2017-10-30,2917043,99,119,atl hip hop rap trap music,90,6057543,10
Madiba Riddim,Drake,2017-03-18,18528279,51,19,canadian hip hop canadian pop hip hop pop rap rap,97,36572155,3
Magnolia,Playboi Carti,2017-04-14,145444153,29,12,atl hip hop hip hop pop pop rap rap southern hip hop trap music underground hip hop,82,2278369,4
Majesty (with Labrinth & feat. Eminem),Nicki Minaj,2018-08-10,2424879,58,90,dance pop hip pop pop pop rap post-teen pop r&b,91,15163007,8
Make It Back,Future,2018-10-19,2979066,92,64,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,10
Make It Right,BTS,2019-04-12,6759878,95,54,k-pop,94,10794044,4
Make Love,Juice WRLD,2019-03-08,1193145,78,186,chicago rap,93,4166464,3
Make Me (Cry),Noah Cyrus,2016-11-15,26434393,46,55,dance pop pop post-teen pop,75,388838,11
Make Me Feel,Janelle Monáe,2018-04-27,1716496,99,126,alternative r&b atl hip hop dance pop electropop escape room neo soul pop r&b,72,671542,4
Malibu,Miley Cyrus,2017-09-29,56135441,10,7,dance pop pop post-teen pop,84,8638324,9
March 14,Drake,2018-06-29,10671702,57,32,canadian hip hop canadian pop hip hop pop rap rap,97,36572155,6
Marry Me,Thomas Rhett,2017-09-08,64335126,30,62,contemporary country country country road modern country rock,81,2609541,9
Mask Off,Future,2017-06-30,265791568,5,2,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,6
Mask Off - Remix,Future,2017-05-23,16527968,5,33,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,5
May We All,Florida Georgia Line,2016-08-26,8609638,42,171,contemporary country country country pop country road modern country rock,84,2797470,8
Mayores,Becky G,2017-07-14,6437177,74,179,latin viral pop pop reggaeton,85,4870218,7
Maze,Juice WRLD,2019-03-08,12014423,65,28,chicago rap,93,4166464,3
Me Niego,Reik,2018-02-16,2721341,77,182,latin latin arena pop latin pop mexican pop pop reggaeton,84,2866822,2
Mercy,YBN Cordae,2019-03-08,38177626,15,30,dmv rap pop rap rap trap music underground hip hop vapor trap,75,443354,3
Mess,Bebe Rexha,2018-06-22,4457277,74,40,dance pop electropop pop post-teen pop,87,3562068,6
Met Gala (feat. Offset),Gucci Mane,2017-05-26,26135756,88,54,atl hip hop dirty south rap hip hop pop pop rap rap southern hip hop trap music,87,2681378,5
Mi Gente,J Balvin,2017-06-30,103484351,3,8,latin pop reggaeton,94,14108006,6
Mi Gente (feat. Beyoncé),J Balvin,2017-09-28,21756881,3,17,latin pop reggaeton,94,14108006,9
Midnight,M83,2011-01-01,13711863,74,19,french shoegaze indietronica metropopolis neo-synthpop,70,1524383,1
Midnight Summer Jam,Justin Timberlake,2018-02-02,1624482,74,137,dance pop pop,82,7915588,2
Millidelphia (feat. Swizz Beatz),Meek Mill,2018-07-06,4118013,73,88,hip hop philly rap pop pop rap rap southern hip hop trap music,86,3138302,7
Million Reasons,Lady Gaga,2016-10-21,9267338,4,79,dance pop pop,90,7502465,10
Mine,Bazzi,2018-04-12,224077606,11,4,dance pop pop post-teen pop,85,1452544,4
Mixed Personalities (feat. Kanye West),YNW Melly,2019-01-18,67536604,42,12,trap music,86,764967,1
Mo Bamba,Sheck Wes,2018-10-05,257438435,6,1,rap trap music underground hip hop vapor trap,77,518871,10
Mob Ties,Drake,2018-06-29,71686261,13,6,canadian hip hop canadian pop hip hop pop rap rap,97,36572161,6
Modern Slavery,Huncho Jack,2017-12-21,9020675,68,23,hip hop pop pop rap rap southern hip hop trap music underground hip hop,70,419964,12
Momma I Hit A Lick (feat. Kendrick Lamar),2 Chainz,2019-03-01,2427750,100,94,atl hip hop hip hop pop pop rap rap southern hip hop trap music,86,4485183,3
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,2018-09-28,56976630,2,1,hip hop new orleans rap pop pop rap rap trap music,91,7813748,9
Money,Cardi B,2018-10-23,112106848,13,17,pop rap,92,7971810,10
Money Bag,Cardi B,2018-04-06,8096633,13,42,pop rap,92,7971810,4
Money Bag,Cardi B,2018-04-06,8096633,58,42,pop rap,92,7971810,4
Money Convo,21 Savage,2017-09-23,1306363,13,157,atl hip hop rap trap music,90,6057546,9
Money Longer,Lil Uzi Vert,2016-05-27,90891838,13,73,philly rap rap trap music,90,6283574,5
Monster Mash,"Bobby ""Boris"" Pickett",1962-01-01,2751437,73,188,halloween,36,813,1
Moonlight,XXXTENTACION,2018-03-16,315413665,13,3,emo rap miami hip hop,94,12748622,3
MoshPit (feat. Juice WRLD),Kodak Black,2018-12-14,17040704,58,22,miami hip hop rap trap music,88,4655966,12
Most Girls,Hailee Steinfeld,2017-04-28,55118659,58,56,dance pop pop post-teen pop,83,4135737,4
Most People Are Good,Luke Bryan,2017-12-08,3070413,43,135,contemporary country country country road,80,3984808,12
Motiv8,J. Cole,2018-04-20,33234503,15,5,conscious hip hop hip hop nc hip hop pop rap rap,90,8232406,4
MotorSport,Migos,2018-01-26,132751846,6,9,atl hip hop pop pop rap rap southern hip hop trap music,87,8747515,1
Motorcycle Patches,Huncho Jack,2017-12-21,6003720,90,51,hip hop pop pop rap rap southern hip hop trap music underground hip hop,70,419964,12
Moves,Big Sean,2017-02-03,78760596,38,10,detroit hip hop hip hop pop pop rap r&b rap southern hip hop trap music,84,6064850,2
Murder On My Mind,YNW Melly,2018-08-03,133281581,14,4,trap music,86,764968,8
My Bad,Khalid,2019-03-07,36113933,55,13,pop,97,6290474,3
My Blood,Shawn Mendes,2018-05-25,10175229,81,60,canadian pop dance pop pop post-teen pop viral pop,91,16547879,5
My Dawg,Quality Control,2017-12-08,1664459,71,149,hip hop pop pop rap rap southern hip hop trap music,71,295824,12
My Girl,The Temptations,1965-03-22,2360878,39,188,adult standards brill building pop christmas classic soul funk memphis soul motown soul,71,1299164,3
My My My!,YNW Melly,2018-08-03,14589665,80,17,trap music,86,764968,8
NASA,Ariana Grande,2019-02-08,52078182,17,3,dance pop pop post-teen pop,97,29083687,2
NC-17,Travis Scott,2018-08-03,15542218,41,17,pop pop rap rap,94,5536215,8
Narcos,Migos,2018-01-26,93569263,36,3,atl hip hop pop pop rap rap southern hip hop trap music,87,8747515,1
Natural,Imagine Dragons,2018-11-09,82378099,13,28,modern rock rock,91,18576760,11
Negative Energy,Trippie Redd,2018-11-09,4783274,89,57,rap trap music,86,2947102,11
Neighbors,J. Cole,2016-12-09,64145142,64,27,conscious hip hop hip hop nc hip hop pop rap rap,90,8232406,12
Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,2017-08-25,11423229,79,58,philly rap rap trap music,90,6283574,8
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,2018-10-05,88198735,15,3,atl hip hop atl trap rap trap music,88,2073903,10
Never Stop,Future,2019-01-18,2196031,65,115,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,1
Nevermind,Dennis Lloyd,2017-06-30,57909460,86,36,israeli pop,77,225895,6
New Freezer (feat. Kendrick Lamar),Rich The Kid,2018-03-30,103526625,41,31,atl hip hop pop pop rap rap southern hip hop trap music,86,1590617,3
New Man,Brooks & Dunn,2019-04-05,14301434,72,22,contemporary country country country road red dirt,75,1046942,4
New Patek,Lil Uzi Vert,2018-09-18,74729640,24,4,philly rap rap trap music,90,6283574,9
New Rules,Dua Lipa,2017-06-02,167987978,6,21,dance pop pop post-teen pop uk pop,88,11293433,6
Nice For What,Drake,2018-06-29,302712638,1,1,canadian hip hop canadian pop hip hop pop rap rap,97,36572161,6
Nice For What,Drake,2018-06-29,302712638,95,1,canadian hip hop canadian pop hip hop pop rap rap,97,36572161,6
Nice Guy (with Jessie Reyez),Eminem,2018-08-31,8918694,65,29,detroit hip hop g funk hip hop rap,94,26562335,8
Nice Guy (with Jessie Reyez),Eminem,2018-08-31,8918694,95,29,detroit hip hop g funk hip hop rap,94,26562335,8
Nico And The Niners,Twenty One Pilots,2018-10-05,11733589,79,52,pop punk rock,88,12813392,10
Nightmare,Kid Cudi,2009-01-01,3020918,100,110,hip hop pop rap rap,80,3007745,1
Nights Like This (feat. Ty Dolla $ign),Kehlani,2019-02-22,54284316,67,21,dance pop pop post-teen pop r&b,83,2410329,2
No Brainer,DJ Khaled,2018-07-27,71225931,5,4,dance pop hip hop miami hip hop pop pop rap r&b rap southern hip hop trap music,79,3887499,7
No Cap,Future,2017-10-20,2317244,62,75,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,10
No Complaints,Metro Boomin,2017-06-23,43360275,71,39,hip hop pop pop rap rap southern hip hop trap music,85,1259993,6
No Complaints (feat. Offset & Drake) (Bonus),Metro Boomin,2018-11-06,2169104,71,104,hip hop pop pop rap rap southern hip hop trap music,85,1259993,11
No Favors,Big Sean,2017-02-03,27737232,22,8,detroit hip hop hip hop pop pop rap r&b rap southern hip hop trap music,84,6064850,2
No Frauds,Nicki Minaj,2017-03-10,21983520,14,22,dance pop hip pop pop pop rap post-teen pop r&b,91,15163011,3
No Heart,YNW Melly,2019-01-18,76497773,43,19,trap music,86,764968,1
No Limit,G-Eazy,2017-09-07,173884372,4,2,hip hop indie pop rap pop pop rap rap,86,3867503,9
No Long Talk,Drake,2017-03-18,20264620,40,10,canadian hip hop canadian pop hip hop pop rap rap,97,36572161,3
No Longer Friends,Bryson Tiller,2017-05-26,1909554,98,96,hip hop pop pop rap r&b rap trap music,80,3361954,5
No Mistakes,Kanye West,2018-06-01,13086271,36,11,chicago rap pop rap rap,91,9674775,6
"No More (feat. Travis Scott, Kodak Black & 21 Savage)",Metro Boomin,2018-11-06,6152498,79,32,hip hop pop pop rap rap southern hip hop trap music,85,1259993,11
No Promises (feat. Demi Lovato),Cheat Codes,2017-03-31,61756546,38,52,dance pop edm electropop pop pop edm post-teen pop tropical house,81,1140474,3
No Sleep Leak,Lil Uzi Vert,2017-08-25,4460079,90,67,philly rap rap trap music,90,6283574,8
No Smoke,YoungBoy Never Broke Again,2017-08-04,4142627,61,138,trap music,85,2483144,8
No Stylist,French Montana,2018-09-20,85414648,47,21,hip hop pop pop rap rap southern hip hop trap music,85,2694823,9
Nobody Else But You,Trey Songz,2017-03-24,7967417,92,188,dance pop pop pop rap r&b southern hip hop urban contemporary,80,4150386,3
Nonstop,Drake,2018-06-29,246325430,2,1,canadian hip hop canadian pop hip hop pop rap rap,97,36572161,6
Normal,Eminem,2018-08-31,14047190,39,11,detroit hip hop g funk hip hop rap,94,26562335,8
Not Alike (feat. Royce Da 5'9),Eminem,2018-08-31,26360717,24,7,detroit hip hop g funk hip hop rap,94,26562335,8
Nothings Into Somethings,Drake,2017-03-18,12687863,61,27,canadian hip hop canadian pop hip hop pop rap rap,97,36572161,3
Notice Me,Migos,2018-01-26,22160825,52,23,atl hip hop pop pop rap rap southern hip hop trap music,87,8747515,1
Noticed,Lil Mosey,2018-10-19,119625472,80,20,rap conscient trap music vapor trap,79,649839,10
Now Or Never,PnB Rock,2019-05-03,98089388,17,12,hip hop pop pop rap rap southern hip hop trap music,83,1884321,5
Nowadays (feat. Landon Cube),Lil Skies,2017-12-20,147058417,55,30,trap music,86,2567952,12
Nowadays Pt. 2 (feat. Landon Cube),Lil Skies,2019-03-01,2295040,55,103,trap music,86,2567952,3
Nuketown (feat. Juice WRLD),Ski Mask The Slump God,2018-11-30,61262574,63,18,miami hip hop rap trap music underground hip hop,84,2116383,11
Numb,ScHoolboy Q,2019-04-26,23632011,34,42,hip hop pop pop rap rap southern hip hop trap music,86,2475929,4
Numb / Encore,JAY Z,2004-11-30,1504363,34,136,east coast hip hop gangster rap hip hop pop rap rap,83,4763828,11
Numb Numb Juice,ScHoolboy Q,2019-04-26,13233319,34,23,hip hop pop pop rap rap southern hip hop trap music,86,2475929,4
Numb Numb Juice,ScHoolboy Q,2019-04-26,13233319,55,23,hip hop pop pop rap rap southern hip hop trap music,86,2475929,4
OKRA,"Tyler, The Creator",2018-03-30,6339471,89,55,hip hop rap,81,2703830,3
OMG,Camila Cabello,2017-08-03,21732827,81,63,dance pop pop post-teen pop r&b,85,9544157,8
OOOUUU,Young M.A,2016-05-20,22388710,24,27,lgbtq+ hip hop nyc rap rap trap music,63,724628,5
OTW,Khalid,2018-04-20,111811830,57,20,pop,97,6290474,4
Ocean (feat. Khalid),Martin Garrix,2018-06-15,45395926,76,22,big room edm pop progressive house tropical house,87,9984511,6
Oceans Away,A R I Z O N A,2017-05-19,16184057,76,102,electropop indie poptimism modern rock pop tropical house,71,213137,5
Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),Lil Baby,2018-10-05,5357864,54,46,atl hip hop atl trap rap trap music,88,2073903,10
Old Town Road,Lil Nas X,2019-04-05,87536247,1,2,country rap,90,212478,4
Old Town Road - Remix,Lil Nas X,2019-04-05,76548834,1,1,country rap,90,212478,4
"On Everything (feat. Travis Scott, Rick Ross & Big Sean)",DJ Khaled,2017-06-22,1534641,88,122,dance pop hip hop miami hip hop pop pop rap r&b rap southern hip hop trap music,79,3887499,6
On Me (feat. Cardi B),Meek Mill,2018-11-30,9012055,30,28,hip hop philly rap pop pop rap rap southern hip hop trap music,86,3138302,11
One Call,Gunna,2019-02-01,9880123,56,38,atl hip hop hip hop pop rap rap southern hip hop trap music,88,1058877,2
One Day (feat. Ryan Tedder),Logic,2018-07-27,5797907,80,34,conscious hip hop dmv rap hip hop pop rap rap,90,3630305,7
One Day (ft. Ryan Tedder),Logic,2018-09-28,2211731,80,117,conscious hip hop dmv rap hip hop pop rap rap,90,3630305,9
One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,86149059,26,19,edm electro house house pop progressive house uk dance,90,16541962,4
One Minute (feat. Kanye West & Travis Barker),XXXTENTACION,2018-12-07,5122031,62,23,emo rap miami hip hop,94,12748624,12
One Number Away,Luke Combs,2017-06-02,22334368,34,140,contemporary country country road,82,1196269,6
Oodles O' Noodles Babies,Meek Mill,2018-11-30,2092845,85,152,hip hop philly rap pop pop rap rap southern hip hop trap music,86,3138302,11
Open Letter,Lil Wayne,2018-09-28,8495613,47,21,hip hop new orleans rap pop pop rap rap trap music,91,7813748,9
Open Safe,Lil Wayne,2018-09-28,6853673,62,34,hip hop new orleans rap pop pop rap rap trap music,91,7813748,9
Otherside,Post Malone,2018-04-27,30368677,46,15,pop rap,96,13676404,4
Outside Today,YoungBoy Never Broke Again,2018-06-29,53981561,31,78,trap music,85,2483145,6
Outstanding,Gunna,2019-02-22,3460246,70,49,atl hip hop hip hop pop rap rap southern hip hop trap music,88,1058877,2
Outta My Head (with John Mayer),Khalid,2019-04-05,21765184,58,9,pop,97,6290476,4
Over Now,Post Malone,2018-04-27,49765193,24,8,pop rap,96,13676404,4
Overdue (with Travis Scott),Metro Boomin,2018-11-06,8346051,62,29,hip hop pop pop rap rap southern hip hop trap music,85,1259993,11
Overnight,Logic,2018-03-09,11600661,68,18,conscious hip hop dmv rap hip hop pop rap rap,90,3630305,3
Owe Me,The Chainsmokers,2018-12-14,5715268,86,42,dance pop edm electropop pop tropical house,89,12074118,12
Paradise,Lil Uzi Vert,2019-04-09,23948335,98,21,philly rap rap trap music,90,6283574,4
Paramedic!,Kendrick Lamar,2018-02-09,34816426,65,16,conscious hip hop hip hop pop rap rap west coast rap,90,12383502,2
Paranoid,Post Malone,2018-04-27,78600510,11,3,pop rap,96,13676404,4
Paris,$uicideBoy$,2015-11-20,119890906,6,4,dark trap new orleans rap underground hip hop,83,1391097,11
Party,Billie Eilish,2019-03-29,30381243,40,117,electropop pop,100,7490997,3
Party In The U.S.A.,Miley Cyrus,2009-01-01,3353522,40,126,dance pop pop post-teen pop,84,8638324,1
Party Monster,The Weeknd,2016-11-25,61256397,36,16,canadian contemporary r&b canadian pop pop rap,91,15691950,11
Party Monster,The Weeknd,2016-11-25,61256397,40,16,canadian contemporary r&b canadian pop pop rap,91,15691952,11
Passionfruit,Drake,2017-03-18,208268184,8,1,canadian hip hop canadian pop hip hop pop rap rap,97,36572162,3
Patek Water,Future,2017-10-20,13164759,50,31,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,10
Patty Cake,Kodak Black,2017-03-31,35804073,76,139,miami hip hop rap trap music,88,4655966,3
Pay You Back (feat. 21 Savage),Meek Mill,2018-11-30,2438190,78,119,hip hop philly rap pop pop rap rap southern hip hop trap music,86,3138302,11
Peak,Drake,2018-06-29,13982831,38,22,canadian hip hop canadian pop hip hop pop rap rap,97,36572162,6
Peek A Boo,Red Velvet,2017-11-17,18631250,78,73,k-pop,74,2219172,11
Perfect,Ed Sheeran,2017-03-03,181573888,1,13,pop uk pop,93,43876346,3
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2017-11-30,37849224,1,5,pop uk pop,93,43876346,11
"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",Mike WiLL Made-It,2017-03-24,17943423,1,119,atl hip hop hip hop pop pop rap rap southern hip hop trap music,72,823773,3
Perfect Places,Lorde,2017-06-16,5261238,1,73,art pop dance pop electropop metropopolis nz pop pop,79,4338178,6
Perfect Strangers,Jonas Blue,2018-11-09,3820039,1,53,dance pop edm pop tropical house uk dance,85,1897710,11
Perfect Strangers,Jonas Blue,2018-11-09,3820039,86,53,dance pop edm pop tropical house uk dance,85,1897710,11
Perfecto,Mac Miller,2018-08-03,3219982,1,159,hip hop pittsburgh rap pop rap rap,84,3147133,8
Perplexing Pegasus,Rae Sremmurd,2018-05-04,38957586,84,37,hip hop pop pop rap rap southern hip hop trap music,80,4826361,5
Photograph,Ed Sheeran,2014-06-21,36249645,14,6,pop uk pop,93,43876346,6
Plain Jane,A$AP Ferg,2017-08-18,171551315,26,8,hip hop pop pop rap rap southern hip hop trap music underground hip hop,79,1877511,8
Plain Jane REMIX,A$AP Ferg,2017-12-15,10975604,26,78,hip hop pop pop rap rap southern hip hop trap music underground hip hop,79,1877511,12
Please Me,Cardi B,2019-02-15,48092654,3,15,pop rap,92,7971812,2
Plug Walk,Rich The Kid,2018-03-30,201572733,13,7,atl hip hop pop pop rap rap southern hip hop trap music,86,1590617,3
Pop Out (feat. Lil TJay),Polo G,2019-02-01,21732720,39,19,chicago rap,76,76153,2
Portland,Drake,2017-03-18,139889976,9,2,canadian hip hop canadian pop hip hop pop rap rap,97,36572162,3
Powerglide (feat. Juicy J),Rae Sremmurd,2018-05-04,43812522,28,17,hip hop pop pop rap rap southern hip hop trap music,80,4826361,5
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,2018-05-04,77155506,28,18,hip hop pop pop rap rap southern hip hop trap music,80,4826361,5
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,2018-05-25,109997446,45,11,east coast hip hop hip hop pop pop rap rap southern hip hop trap music,87,5340307,5
Pray,Panic! At The Disco,2018-06-22,20936716,55,31,emo modern rock pop punk,88,6824780,6
Pray For Me,Kendrick Lamar,2018-02-09,1473087,7,189,conscious hip hop hip hop pop rap rap west coast rap,90,12383502,2
Pray For Me,Kendrick Lamar,2018-02-09,1473087,55,189,conscious hip hop hip hop pop rap rap west coast rap,90,12383502,2
Pray For Me (with Kendrick Lamar),Kendrick Lamar,2018-02-09,91033392,7,3,conscious hip hop hip hop pop rap rap west coast rap,90,12383502,2
Pray For Me (with Kendrick Lamar),Kendrick Lamar,2018-02-09,91033392,55,3,conscious hip hop hip hop pop rap rap west coast rap,90,12383502,2
Prayers Up (feat. Travis Scott & A-Trak),Calvin Harris,2017-06-30,2240211,55,62,edm electro house house pop progressive house uk dance,90,16541963,6
Praying,Kesha,2017-08-11,76861598,22,17,dance pop electropop pop pop rap post-teen pop,79,4509079,8
Praying,Kesha,2017-08-11,76861598,55,17,dance pop electropop pop pop rap post-teen pop,79,4509079,8
Pretty Little Fears (feat. J. Cole),6LACK,2018-09-14,11189060,76,60,alternative r&b atl hip hop hip hop pop pop rap rap trap music,83,1548981,9
Privilege,The Weeknd,2018-03-30,14977619,52,11,canadian contemporary r&b canadian pop pop rap,91,15691953,3
Problems,6LACK,2016-11-18,7481588,57,26,alternative r&b atl hip hop hip hop pop pop rap rap trap music,83,1548981,11
Promises (with Sam Smith),Calvin Harris,2018-08-17,39467987,65,19,edm electro house house pop progressive house uk dance,90,16541963,8
Psycho (feat. Ty Dolla $ign),Post Malone,2018-04-27,360212763,1,2,pop rap,96,13676404,4
Pull Up N Wreck (& Metro Boomin),Big Sean,2017-12-08,4813152,80,54,detroit hip hop hip hop pop pop rap r&b rap southern hip hop trap music,84,6064850,12
